epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.607,0.72868,2.67615,1.30737,0.29619,0.57641,0.38266,0.32462,0.60071,1.58275,1.29793,0.000276993,0.000276993,0.000276993
2,311.246,0.62451,1.77747,1.20161,0.35875,0.63771,0.47916,0.40773,0.59456,1.34857,1.30192,0.000540932,0.000540932,0.000540932
3,457.076,0.62011,1.56615,1.19639,0.38331,0.61347,0.46635,0.40251,0.56465,1.39951,1.24462,0.000791126,0.000791126,0.000791126
4,603.608,0.60739,1.49627,1.18748,0.4437,0.67136,0.50785,0.44103,0.55793,1.33537,1.24512,0.00077115,0.00077115,0.00077115
5,752.446,0.59388,1.44623,1.17756,0.45388,0.66757,0.55351,0.484,0.53975,1.18874,1.21897,0.000750533,0.000750533,0.000750533
6,898.053,0.58541,1.41417,1.16985,0.47011,0.69252,0.58605,0.51572,0.52429,1.14689,1.19335,0.000729916,0.000729916,0.000729916
7,1045.17,0.57138,1.38317,1.15916,0.47212,0.66208,0.57216,0.50634,0.51389,1.19875,1.19619,0.000709299,0.000709299,0.000709299
8,1193.26,0.57064,1.35672,1.16051,0.47886,0.63161,0.58031,0.51182,0.5121,1.19511,1.19035,0.000688683,0.000688683,0.000688683
9,1337.32,0.56204,1.34533,1.15221,0.52122,0.65549,0.62182,0.55208,0.49913,1.10911,1.172,0.000668066,0.000668066,0.000668066
10,1486.3,0.55715,1.31617,1.15022,0.53378,0.68715,0.62766,0.55219,0.5173,1.10919,1.19402,0.000647449,0.000647449,0.000647449
11,1634.49,0.54793,1.30743,1.13975,0.52036,0.66932,0.63354,0.56616,0.47688,1.07007,1.14929,0.000626832,0.000626832,0.000626832
12,1782.81,0.53785,1.28201,1.13432,0.58346,0.66252,0.65605,0.58503,0.47737,1.03277,1.13503,0.000606216,0.000606216,0.000606216
13,1931.01,0.53557,1.27094,1.13532,0.57877,0.69351,0.67695,0.60777,0.46175,1.00987,1.12666,0.000585599,0.000585599,0.000585599
14,2076.7,0.52944,1.25453,1.13101,0.5935,0.64149,0.6719,0.5973,0.47794,1.0473,1.14065,0.000564982,0.000564982,0.000564982
