epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1102.42,0.92901,0.97894,1.10727,0.5679,0.67609,0.67063,0.47531,1.18696,1.01941,1.45188,0.000660045,0.000660045,0.000660045
43,1129.33,0.92478,0.98202,1.09804,0.59834,0.67096,0.67859,0.4803,1.24364,1.02992,1.46445,0.000649046,0.000649046,0.000649046
44,1155.43,0.90802,0.97434,1.09329,0.5863,0.67396,0.68786,0.48564,1.18672,0.98383,1.47135,0.000638047,0.000638047,0.000638047
45,1180.8,0.91443,0.96035,1.09786,0.62952,0.64745,0.68666,0.48366,1.24463,0.99477,1.53882,0.000627048,0.000627048,0.000627048
46,1205.65,0.89678,0.96586,1.09341,0.57919,0.71201,0.67531,0.47792,1.23409,1.00372,1.48094,0.000616049,0.000616049,0.000616049
47,1231.5,0.89662,0.96035,1.09173,0.56646,0.69572,0.65328,0.46548,1.19545,1.10243,1.46158,0.000605051,0.000605051,0.000605051
48,1257.74,0.91089,0.95005,1.09076,0.56655,0.67291,0.68134,0.48307,1.23291,1.05821,1.5123,0.000594052,0.000594052,0.000594052
49,1284.38,0.89869,0.94113,1.07491,0.6343,0.61667,0.68111,0.48766,1.1866,1.00568,1.45275,0.000583053,0.000583053,0.000583053
50,1311.72,0.88225,0.91165,1.0727,0.5983,0.68453,0.67836,0.48906,1.17833,0.97477,1.43242,0.000572054,0.000572054,0.000572054
51,1338.34,0.89208,0.93493,1.08053,0.58004,0.66257,0.66981,0.47502,1.17518,1.04145,1.46307,0.000561055,0.000561055,0.000561055
52,1364.07,0.88029,0.93256,1.08029,0.60689,0.64398,0.66343,0.47289,1.21396,1.05678,1.4475,0.000550056,0.000550056,0.000550056
53,1389.83,0.87815,0.92233,1.07409,0.65076,0.6387,0.66957,0.46847,1.18038,0.99835,1.45957,0.000539057,0.000539057,0.000539057
54,1416.2,0.87869,0.90918,1.07915,0.65978,0.62354,0.68265,0.48403,1.20163,0.95477,1.44312,0.000528058,0.000528058,0.000528058
55,1442.23,0.88468,0.89236,1.07482,0.61321,0.64124,0.65528,0.46927,1.16652,1.03676,1.42953,0.000517059,0.000517059,0.000517059
56,1467.91,0.86719,0.89373,1.07104,0.59563,0.66668,0.66299,0.47666,1.19747,0.98756,1.45659,0.00050606,0.00050606,0.00050606
57,1493.97,0.86482,0.89142,1.06154,0.59164,0.66613,0.67029,0.48354,1.18363,0.91937,1.45495,0.000495062,0.000495062,0.000495062
58,1518.65,0.87446,0.88658,1.07136,0.63113,0.63559,0.68604,0.48616,1.22519,0.96244,1.45793,0.000484063,0.000484063,0.000484063
59,1544.75,0.84905,0.85988,1.06567,0.60295,0.70199,0.68411,0.49373,1.19667,0.94618,1.43067,0.000473064,0.000473064,0.000473064
60,1570.67,0.85282,0.86169,1.06578,0.55927,0.66571,0.65487,0.46947,1.17234,1.05927,1.43007,0.000462065,0.000462065,0.000462065
61,1597.19,0.86285,0.85746,1.06182,0.62967,0.66189,0.66803,0.46704,1.19124,0.93625,1.4466,0.000451066,0.000451066,0.000451066
62,1623.56,0.85913,0.84171,1.05842,0.5885,0.66682,0.64676,0.46709,1.18961,1.11063,1.4619,0.000440067,0.000440067,0.000440067
63,1648.89,0.85482,0.83126,1.06263,0.64859,0.62531,0.66243,0.47682,1.18881,0.97595,1.425,0.000429068,0.000429068,0.000429068
64,1673.72,0.85519,0.83068,1.06262,0.61305,0.63392,0.6662,0.47552,1.21222,1.00172,1.43438,0.000418069,0.000418069,0.000418069
65,1699.59,0.85159,0.83936,1.0647,0.59699,0.667,0.65733,0.46417,1.17162,1.01663,1.43747,0.00040707,0.00040707,0.00040707
66,1725.8,0.85223,0.82577,1.05739,0.57381,0.69424,0.66969,0.48843,1.13952,1.01572,1.38357,0.000396071,0.000396071,0.000396071
67,1751.6,0.84788,0.81152,1.05347,0.59149,0.62617,0.65866,0.47377,1.18622,1.01849,1.43612,0.000385073,0.000385073,0.000385073
68,1776.28,0.82182,0.79493,1.04904,0.60413,0.63681,0.67087,0.47774,1.19334,0.9877,1.42765,0.000374074,0.000374074,0.000374074
69,1801.82,0.83172,0.78237,1.04456,0.57664,0.6449,0.65175,0.4571,1.24798,1.04412,1.47654,0.000363075,0.000363075,0.000363075
70,1827.61,0.83736,0.80318,1.05244,0.59928,0.67561,0.65998,0.47259,1.16326,0.99024,1.41165,0.000352076,0.000352076,0.000352076
71,1853.99,0.81462,0.77824,1.0475,0.59401,0.65797,0.65041,0.46516,1.19241,1.01775,1.49179,0.000341077,0.000341077,0.000341077
72,1880.18,0.81725,0.77542,1.04854,0.63768,0.64742,0.66718,0.47612,1.21153,0.96674,1.45193,0.000330078,0.000330078,0.000330078
73,1905.25,0.82507,0.76948,1.04747,0.60082,0.63636,0.66171,0.47717,1.17518,1.04504,1.44916,0.000319079,0.000319079,0.000319079
74,1930.19,0.82346,0.76468,1.04732,0.59654,0.65822,0.66079,0.47395,1.15458,1.03495,1.44163,0.00030808,0.00030808,0.00030808
75,1956.5,0.81736,0.75428,1.0433,0.58356,0.70316,0.66735,0.47039,1.25008,1.01697,1.44536,0.000297081,0.000297081,0.000297081
76,1982.54,0.80812,0.72977,1.03726,0.59912,0.6873,0.66968,0.48153,1.21545,1.0057,1.45528,0.000286083,0.000286083,0.000286083
77,2008.52,0.81197,0.7457,1.04253,0.5711,0.64818,0.63498,0.4575,1.18424,1.04686,1.45179,0.000275084,0.000275084,0.000275084
78,2034.27,0.8066,0.7209,1.03567,0.57955,0.67973,0.65213,0.46871,1.21493,1.00373,1.47465,0.000264085,0.000264085,0.000264085
79,2058.91,0.80142,0.72373,1.04028,0.58974,0.63365,0.65182,0.46917,1.18008,1.04887,1.44671,0.000253086,0.000253086,0.000253086
80,2084.9,0.80231,0.73207,1.03591,0.6488,0.62308,0.6647,0.47917,1.20918,1.03478,1.4704,0.000242087,0.000242087,0.000242087
81,2110.84,0.79673,0.71999,1.03605,0.5574,0.69081,0.66619,0.46741,1.17411,0.98513,1.44548,0.000231088,0.000231088,0.000231088
82,2136.68,0.79139,0.71533,1.02902,0.58125,0.64044,0.65876,0.47426,1.22267,1.05848,1.48186,0.000220089,0.000220089,0.000220089
83,2162.29,0.78863,0.70866,1.02997,0.627,0.62592,0.6595,0.47303,1.19122,1.01387,1.43145,0.00020909,0.00020909,0.00020909
84,2186.91,0.79558,0.71682,1.03038,0.62022,0.62489,0.65087,0.46664,1.17385,0.97844,1.41903,0.000198091,0.000198091,0.000198091
85,2212.95,0.79365,0.7112,1.03658,0.58619,0.66506,0.64843,0.46516,1.18196,1.05447,1.4626,0.000187092,0.000187092,0.000187092
86,2238.5,0.77895,0.68544,1.02407,0.57216,0.68324,0.66775,0.48459,1.16812,0.99953,1.44245,0.000176094,0.000176094,0.000176094
87,2264.68,0.77235,0.7027,1.02745,0.56233,0.65111,0.65093,0.46982,1.20684,1.04792,1.45194,0.000165095,0.000165095,0.000165095
88,2290.74,0.77595,0.69331,1.02641,0.59316,0.6762,0.67008,0.4834,1.18185,1.05263,1.45848,0.000154096,0.000154096,0.000154096
89,2315.87,0.77183,0.6834,1.02352,0.60214,0.66773,0.66958,0.48183,1.19819,0.99404,1.45418,0.000143097,0.000143097,0.000143097
90,2341.63,0.77365,0.68305,1.03034,0.60322,0.63491,0.66293,0.47644,1.19952,1.02791,1.45345,0.000132098,0.000132098,0.000132098
