epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.494,0.47387,1.05106,1.09368,0.65401,0.68722,0.73555,0.66467,0.45889,0.93503,1.10301,0.000276993,0.000276993,0.000276993
2,284.993,0.49485,1.09107,1.102,0.65529,0.70157,0.73351,0.66052,0.4549,0.9184,1.11256,0.000547338,0.000547338,0.000547338
3,420.443,0.51493,1.13447,1.11664,0.58634,0.69922,0.7006,0.62758,0.47887,1.01046,1.14369,0.000810353,0.000810353,0.000810353
4,553.697,0.52632,1.15381,1.12234,0.50644,0.71931,0.65978,0.57526,0.53915,1.19287,1.22546,0.000800013,0.000800013,0.000800013
5,687.279,0.53003,1.15575,1.12534,0.61276,0.67743,0.6945,0.60939,0.52394,1.01842,1.18306,0.000789018,0.000789018,0.000789018
6,820.596,0.52141,1.15526,1.11686,0.59263,0.68541,0.69646,0.61721,0.49085,1.03993,1.15932,0.000778022,0.000778022,0.000778022
7,954.353,0.51709,1.14471,1.11714,0.61369,0.66853,0.70891,0.63597,0.47638,1.03909,1.13552,0.000767026,0.000767026,0.000767026
8,1088.1,0.51724,1.14234,1.11771,0.64123,0.68078,0.72009,0.64851,0.45743,0.92481,1.1229,0.000756031,0.000756031,0.000756031
9,1222.82,0.51334,1.13895,1.11225,0.61705,0.67662,0.71391,0.64402,0.45962,0.96944,1.11927,0.000745035,0.000745035,0.000745035
10,1358.95,0.51278,1.12767,1.11507,0.61637,0.70287,0.7145,0.63199,0.49692,0.97403,1.16584,0.00073404,0.00073404,0.00073404
11,1494.4,0.50679,1.12267,1.10556,0.60444,0.70099,0.70385,0.63311,0.46785,0.96611,1.12432,0.000723044,0.000723044,0.000723044
12,1627.8,0.50492,1.11135,1.10664,0.62226,0.67488,0.7119,0.63886,0.46616,0.96025,1.12657,0.000712048,0.000712048,0.000712048
13,1762.65,0.50367,1.10677,1.10857,0.6222,0.73762,0.73993,0.66832,0.45165,0.94956,1.10631,0.000701053,0.000701053,0.000701053
14,1895.3,0.50107,1.09971,1.105,0.62619,0.6764,0.71614,0.63965,0.47,0.99172,1.14818,0.000690057,0.000690057,0.000690057
15,2030.33,0.50225,1.09966,1.10816,0.62179,0.68938,0.69884,0.62557,0.4627,1.00669,1.12349,0.000679062,0.000679062,0.000679062
16,2163.48,0.50083,1.09762,1.10451,0.61781,0.7142,0.72754,0.64816,0.48204,0.94698,1.13562,0.000668066,0.000668066,0.000668066
17,2298.99,0.50127,1.07949,1.10619,0.62547,0.69841,0.71741,0.64702,0.45555,0.98323,1.10926,0.00065707,0.00065707,0.00065707
18,2432.88,0.49484,1.07568,1.1002,0.64143,0.70075,0.73934,0.667,0.45325,0.89112,1.11053,0.000646075,0.000646075,0.000646075
19,2568.57,0.49544,1.07246,1.10169,0.6332,0.69312,0.72886,0.6611,0.4416,0.97821,1.09805,0.000635079,0.000635079,0.000635079
20,2700.92,0.48739,1.07318,1.09724,0.62978,0.72699,0.73814,0.66418,0.44797,0.97651,1.1012,0.000624084,0.000624084,0.000624084
