epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1145.78,0.9445,1.01907,1.11881,0.65526,0.62561,0.68668,0.4814,1.26594,1.06097,1.56751,0.000660045,0.000660045,0.000660045
43,1173.19,0.93566,1.02141,1.107,0.5963,0.67906,0.69713,0.48901,1.17106,1.04493,1.44621,0.000649046,0.000649046,0.000649046
44,1200.28,0.92497,1.02593,1.10213,0.5891,0.68093,0.68826,0.4863,1.19252,0.98508,1.4817,0.000638047,0.000638047,0.000638047
45,1227.58,0.92669,1.0148,1.1046,0.60682,0.67092,0.69324,0.49382,1.19458,0.96834,1.50036,0.000627048,0.000627048,0.000627048
46,1254.11,0.91915,1.00608,1.1025,0.59068,0.65048,0.63191,0.4443,1.27907,1.33417,1.53787,0.000616049,0.000616049,0.000616049
47,1280.48,0.91684,0.99988,1.10415,0.57351,0.7035,0.66723,0.46546,1.22827,0.99236,1.49079,0.000605051,0.000605051,0.000605051
48,1306.61,0.92684,1.00487,1.1081,0.5681,0.70819,0.6744,0.47855,1.18801,1.07275,1.47436,0.000594052,0.000594052,0.000594052
49,1333.79,0.9208,0.98874,1.09028,0.5784,0.64601,0.67963,0.48594,1.23186,1.13826,1.50113,0.000583053,0.000583053,0.000583053
50,1360.78,0.89767,0.95402,1.08484,0.56285,0.68041,0.6848,0.48427,1.21918,1.04753,1.48064,0.000572054,0.000572054,0.000572054
51,1387.21,0.91686,0.98568,1.10304,0.59309,0.65574,0.68406,0.48014,1.1684,1.07681,1.47528,0.000561055,0.000561055,0.000561055
52,1413.44,0.8974,0.97202,1.09486,0.60968,0.70404,0.71059,0.50718,1.17241,0.96967,1.48516,0.000550056,0.000550056,0.000550056
53,1440.4,0.89802,0.96008,1.08904,0.61424,0.70394,0.68843,0.4878,1.18271,0.94082,1.478,0.000539057,0.000539057,0.000539057
54,1465.86,0.89062,0.9569,1.09065,0.6213,0.65707,0.68155,0.48006,1.21244,0.9652,1.51115,0.000528058,0.000528058,0.000528058
55,1492.03,0.89935,0.93133,1.08749,0.5968,0.62992,0.68365,0.49051,1.18172,1.03343,1.49379,0.000517059,0.000517059,0.000517059
56,1519.08,0.88424,0.93753,1.08179,0.56735,0.68876,0.68069,0.48492,1.19863,0.98507,1.53468,0.00050606,0.00050606,0.00050606
57,1546.07,0.88225,0.93084,1.07372,0.63264,0.63807,0.68389,0.48913,1.17426,0.92756,1.46635,0.000495062,0.000495062,0.000495062
58,1572.37,0.88132,0.935,1.07883,0.56101,0.71384,0.67877,0.48686,1.15607,1.11334,1.45273,0.000484063,0.000484063,0.000484063
59,1599.39,0.8692,0.91086,1.07979,0.62118,0.678,0.69143,0.4977,1.19977,0.93543,1.46309,0.000473064,0.000473064,0.000473064
60,1626.83,0.87262,0.89993,1.07622,0.5445,0.7161,0.67253,0.48234,1.18377,1.07354,1.4524,0.000462065,0.000462065,0.000462065
61,1654.06,0.88541,0.9036,1.07658,0.65549,0.63451,0.69694,0.48894,1.18822,0.93612,1.4633,0.000451066,0.000451066,0.000451066
62,1680.8,0.87528,0.89149,1.06872,0.57704,0.66763,0.6843,0.48628,1.25077,1.03835,1.53707,0.000440067,0.000440067,0.000440067
63,1707.61,0.86498,0.87953,1.07154,0.55815,0.68874,0.68216,0.48421,1.23326,1.02489,1.49402,0.000429068,0.000429068,0.000429068
64,1734.68,0.87147,0.88082,1.07446,0.62049,0.62573,0.67986,0.48163,1.20538,0.98029,1.46834,0.000418069,0.000418069,0.000418069
65,1761.61,0.86285,0.8907,1.07217,0.6195,0.6245,0.68735,0.49012,1.15873,0.97757,1.44887,0.00040707,0.00040707,0.00040707
66,1788.9,0.86223,0.86754,1.06877,0.55517,0.7022,0.69001,0.49076,1.14117,0.9902,1.43309,0.000396071,0.000396071,0.000396071
67,1815.59,0.86307,0.84924,1.06783,0.60352,0.6608,0.69518,0.49571,1.21223,0.96628,1.50343,0.000385073,0.000385073,0.000385073
68,1842.27,0.8385,0.85262,1.0619,0.53293,0.6906,0.6702,0.47379,1.26062,1.23565,1.55096,0.000374074,0.000374074,0.000374074
69,1868.82,0.84772,0.83166,1.05865,0.5817,0.64342,0.68808,0.48621,1.23436,1.00462,1.50224,0.000363075,0.000363075,0.000363075
70,1893.73,0.84569,0.83838,1.05912,0.60765,0.64601,0.68377,0.48981,1.17408,1.05406,1.45631,0.000352076,0.000352076,0.000352076
71,1919.94,0.82981,0.81428,1.05487,0.59144,0.71585,0.70139,0.50151,1.19342,0.96012,1.49014,0.000341077,0.000341077,0.000341077
72,1946.95,0.83514,0.81773,1.05676,0.60524,0.66761,0.68965,0.49213,1.1922,0.97824,1.47,0.000330078,0.000330078,0.000330078
73,1973.27,0.84197,0.81612,1.05831,0.56382,0.69838,0.70455,0.50432,1.2096,0.9763,1.50117,0.000319079,0.000319079,0.000319079
74,1999.67,0.84082,0.81357,1.05719,0.59115,0.67565,0.70473,0.50853,1.18023,1.00409,1.4945,0.00030808,0.00030808,0.00030808
75,2026.26,0.82852,0.7971,1.05083,0.64567,0.62102,0.68968,0.47835,1.31249,1.02247,1.52286,0.000297081,0.000297081,0.000297081
76,2052.16,0.82539,0.77291,1.04876,0.62056,0.69876,0.70099,0.50315,1.19727,0.99183,1.48434,0.000286083,0.000286083,0.000286083
77,2077.9,0.83173,0.79036,1.05482,0.6532,0.61822,0.69655,0.49761,1.18581,1.00734,1.4864,0.000275084,0.000275084,0.000275084
78,2104.18,0.82207,0.77254,1.04605,0.59762,0.67682,0.68785,0.49337,1.19589,1.07444,1.47753,0.000264085,0.000264085,0.000264085
79,2130.21,0.81884,0.76762,1.04921,0.59504,0.65568,0.68752,0.49342,1.16624,1.00613,1.47353,0.000253086,0.000253086,0.000253086
80,2156.6,0.82559,0.77169,1.04688,0.60668,0.67232,0.69525,0.49721,1.20198,0.98449,1.50289,0.000242087,0.000242087,0.000242087
81,2182.87,0.81236,0.76081,1.04817,0.62752,0.64303,0.69021,0.48861,1.17569,1.00381,1.47064,0.000231088,0.000231088,0.000231088
82,2207.51,0.8046,0.75481,1.03729,0.65099,0.59256,0.68818,0.49166,1.23465,1.0597,1.50013,0.000220089,0.000220089,0.000220089
83,2234.11,0.80026,0.75088,1.03732,0.56822,0.68674,0.6698,0.47615,1.19195,1.10433,1.48504,0.00020909,0.00020909,0.00020909
84,2260.63,0.80594,0.7577,1.03788,0.63052,0.64297,0.68444,0.49104,1.17634,0.99732,1.45204,0.000198091,0.000198091,0.000198091
85,2287.17,0.80709,0.75493,1.04657,0.57833,0.69411,0.69385,0.49849,1.16896,1.02088,1.46933,0.000187092,0.000187092,0.000187092
86,2312.97,0.79078,0.72822,1.03249,0.62071,0.67348,0.70158,0.5001,1.20646,1.00077,1.49246,0.000176094,0.000176094,0.000176094
87,2338.18,0.78273,0.73885,1.03629,0.60731,0.67627,0.68694,0.48423,1.25203,1.06706,1.50009,0.000165095,0.000165095,0.000165095
88,2363.43,0.79213,0.72945,1.03611,0.62548,0.64666,0.69405,0.49624,1.18252,0.99245,1.45784,0.000154096,0.000154096,0.000154096
89,2390.22,0.78651,0.72312,1.03249,0.59697,0.68018,0.68535,0.48953,1.20726,1.00009,1.47274,0.000143097,0.000143097,0.000143097
90,2416.6,0.78779,0.72846,1.03806,0.59639,0.64837,0.67634,0.4834,1.20262,1.0435,1.49087,0.000132098,0.000132098,0.000132098
91,2444.16,0.78824,0.64302,1.03067,0.58034,0.6573,0.66421,0.47376,1.22697,1.08833,1.49709,0.000121099,0.000121099,0.000121099
92,2469.67,0.77135,0.61386,1.02196,0.61216,0.65221,0.67382,0.4806,1.23564,1.04727,1.50547,0.0001101,0.0001101,0.0001101
93,2493.6,0.74919,0.59263,1.00726,0.5982,0.64657,0.66634,0.47325,1.2238,1.05507,1.48517,9.91012e-05,9.91012e-05,9.91012e-05
94,2518.84,0.74315,0.59503,1.02102,0.63355,0.6453,0.67879,0.48271,1.21101,0.99243,1.49798,8.81023e-05,8.81023e-05,8.81023e-05
95,2544.42,0.73802,0.58341,1.01076,0.6496,0.62192,0.68315,0.48517,1.24395,1.03128,1.50955,7.71034e-05,7.71034e-05,7.71034e-05
96,2569.93,0.72648,0.5732,1.00531,0.61691,0.62836,0.67295,0.48108,1.19517,1.05584,1.48834,6.61045e-05,6.61045e-05,6.61045e-05
97,2593.87,0.7392,0.57655,1.0057,0.6544,0.6164,0.68035,0.48301,1.2158,1.02922,1.48805,5.51056e-05,5.51056e-05,5.51056e-05
98,2619.17,0.72623,0.55229,1.00364,0.6421,0.62627,0.68253,0.48286,1.22845,1.03592,1.49062,4.41067e-05,4.41067e-05,4.41067e-05
99,2644.88,0.72543,0.55812,1.00206,0.65138,0.62303,0.67474,0.48118,1.21163,1.0456,1.4842,3.31078e-05,3.31078e-05,3.31078e-05
100,2670.17,0.72495,0.55675,0.99806,0.62632,0.64093,0.67323,0.4827,1.20042,1.04139,1.4843,2.21089e-05,2.21089e-05,2.21089e-05
